['Am/dm/manager Data Scientist Insurance (2-8 Years)',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
['Data Scientist',Truebil.com',2-5 yrs',Mumbai',SAS,Excel,R,SQL,Analytics Reporting,Statistical Modeling...',  Not disclosed ',1 day ago',datetime.datetime(2018,3,10,22,37,53,400022)],,,,,,,,,,,,,
['Data Scientist',Harjai Computers Pvt Ltd',1-3 yrs',Mumbai',Data Science,Machine Learning,R,Python',  Not disclosed ',Today',datetime.datetime(2018,3,10,22,37,53,407044)],,,,,,,,,,,,,,,
['Looking for Data Scientist',Tech Mahindra Ltd.',5-9 yrs',Mumbai',Data Science',    7,0,000 - 12,0,000 P.A.  ',1 day ago',datetime.datetime(2018,3,10,22,37,53,413048)],,,,,,,,,,,,,,
['Data Scientist',Exponentia Datalabs',3-8 yrs',Mumbai',deep learning,text mining,hadoop,hive,r,data analysis,nlp,sql,spark...',  Not disclosed ',1 day ago',datetime.datetime(2018,3,10,22,37,53,420053)],,,,,,,,,,
['Principal Data Scientist',HERE Solutions India Private Limited',8-11 yrs',Mumbai',Machine Learning,Deep Learning,Computer Vision,Analytics,Big Data,Data...',  Not disclosed ',2 days ago',datetime.datetime(2018,3,10,22,37,53,427064)],,,,,,,,,,,,,
['Chief Data Scientist',Premium',15-20 yrs',Mumbai',Data Scientist,Data Science,Deep Learning Analytics,Coding...',  Not disclosed ',1 day ago',datetime.datetime(2018,3,10,22,37,53,435571)],,,,,,,,,,,,,,,
['Data Scientist / Machine Learning Engineer - Python',SmartConnect Technologies',3-5 yrs',Mumbai',Python,Data Scientist,Machine Learning,Data analysis,Data Analytics...',  Not disclosed ',58 days ago',datetime.datetime(2018,3,10,22,37,53,446081)],,,,,,,,,,,,,,
['Data Scientist',UBS Business Solutions (India) Pvt. Ltd.',3-6 yrs',Navi Mumbai',data scientist,data science,analytics,tableau,bi',  Not disclosed ',1 day ago',datetime.datetime(2018,3,10,22,37,53,454115)],,,,,,,,,,,,,,
['Senior Data Scientist',Cactus Communications Pvt. Ltd.',2-7 yrs',Mumbai',MySQL,PHP,Laravel,Drupal,Angularjs,Solr,MongoDB,Postgresql,Python...',    15,0,000 - 20,0,000 P.A.  ',15 days ago',datetime.datetime(2018,3,10,22,37,53,461100)],,,,,,
['Deep Learning Engineer ( Senior Data Scientist)',NanoNets',5-10 yrs',Mumbai',Deep Learning Engineer,Data Scientist,Deep Learning,Python,Tensorflow...',  Not disclosed ',2 days ago',datetime.datetime(2018,3,10,22,37,53,468105)],,,,,,,,,,,,,,
['Founding Data Scientist',NanoNets',2-5 yrs',Mumbai',Data Scientist,Data Science,Tensorflow,Machine Learning,Python',  Not disclosed ',2 days ago',datetime.datetime(2018,3,10,22,37,53,475110)],,,,,,,,,,,,,,
['Data Scientist',PiSight - Startup',2-5 yrs',Mumbai',Hadoop,Hive,NoSQL,HBase,Spark,Pig,Cassandra,SQL,MongoDB,Hibernate,...',  Not disclosed ',3 days ago',datetime.datetime(2018,3,10,22,37,53,481107)],,,,,,,,
['Data Scientists',Client Of Sampoorna',5-7 yrs',Mumbai',Data Scientist,data analysis,data mining,statistics,machine learning...',  Not disclosed ',4 days ago',datetime.datetime(2018,3,10,22,37,53,488113)],,,,,,,,,,,,,,
['DATA Scientist',Personnel Search Services Pvt Ltd',4-7 yrs',Mumbai',quantitative analytics or data modeling,Python,C,C++,Java,SQL',  Not disclosed ',4 days ago',datetime.datetime(2018,3,10,22,37,53,495118)],,,,,,,,,,,,,
['Trainee - Data Scientist/ USA Australia',MNC',0-1 yrs',Mumbai,Bengaluru,Pune',Data Scientist',    12,0,000 - 22,0,000 P.A.  ',4 days ago',datetime.datetime(2018,3,10,22,37,53,501148)],,,,,,,,,,,,
['Trainee - Data Scientist/ USA Australia',MNC',0-1 yrs',Mumbai,Pune',Data Scientist',    12,0,000 - 22,0,000 P.A.  ',4 days ago',datetime.datetime(2018,3,10,22,37,53,508152)],,,,,,,,,,,,,
